user_id,agg_num,diff_num
0,1818,600
9,1699,600
18,2028,600
27,1920,600
36,1847,600
45,1889,600
54,1803,600
63,2064,600
72,1863,600
81,1626,600
90,2011,600
99,0,600
0,1642,600
9,1832,600
18,1707,600
27,1832,600
36,1519,600
45,1790,600
54,1763,600
63,1696,600
72,1831,600
81,1609,600
90,1663,600
99,90,600
